stage,variant,train_seed,height,status,metric,value,n,mean,sample_std
stage-a,std_01,11,,completed,learning_rate,0.0001,,,
stage-a,std_01,11,,completed,mean_init_scale,1.0,,,
stage-a,std_01,11,,completed,initial_std,0.1,,,
stage-a,std_01,11,,completed,sampled_training_rss_peak_mib,4737.01953125,,,
stage-a,std_01,11,,completed,optimization.updates_observed,40,,,
stage-a,std_01,11,,completed,optimization.actual_optimizer_steps,40,,,
stage-a,std_01,11,,completed,optimization.planned_optimizer_steps,320,,,
stage-a,std_01,11,,completed,optimization.early_stopped_updates,40,,,
stage-a,std_01,11,,completed,optimization.first_update.actor_loss,-0.011979315429925919,,,
stage-a,std_01,11,,completed,optimization.first_update.value_loss,0.023701097816228867,,,
stage-a,std_01,11,,completed,optimization.first_update.entropy,-5.3018798828125,,,
stage-a,std_01,11,,completed,optimization.first_update.kl,0.0,,,
stage-a,std_01,11,,completed,optimization.first_update.clip_fraction,0.0,,,
stage-a,std_01,11,,completed,optimization.first_update.loss,0.03823117911815643,,,
stage-a,std_01,11,,completed,optimization.first_update.auxiliary_loss,0.0,,,
stage-a,std_01,11,,completed,optimization.first_update.auxiliary_coef,0.0,,,
stage-a,std_01,11,,completed,optimization.first_update.grad_norm,5.995997428894043,,,
stage-a,std_01,11,,completed,optimization.first_update.optimizer_steps,1,,,
stage-a,std_01,11,,completed,optimization.first_update.planned_optimizer_steps,8,,,
stage-a,std_01,11,,completed,optimization.first_update.sample_count,4096,,,
stage-a,std_01,11,,completed,optimization.first_update.early_stopped,True,,,
stage-a,std_01,11,,completed,optimization.first_update.stop_kl,0.7994519472122192,,,
stage-a,std_01,11,,completed,optimization.first_update.initial_mean_abs,0.4028385802193455,,,
stage-a,std_01,11,,completed,optimization.first_update.initial_std_mean,0.10000000149011612,,,
stage-a,std_01,11,,completed,optimization.first_update.initial_std_min,0.10000000149011612,,,
stage-a,std_01,11,,completed,optimization.first_update.initial_std_max,0.10000000149011612,,,
stage-a,std_01,11,,completed,optimization.first_update.first_step_kl,0.8017947093510085,,,
stage-a,std_01,11,,completed,optimization.first_update.first_step_mean_kl,0.8017946494595444,,,
stage-a,std_01,11,,completed,optimization.first_update.first_step_std_kl,5.989146411902973e-08,,,
stage-a,std_01,11,,completed,optimization.first_update.first_step_mean_change_rms,0.05170002378119182,,,
stage-a,std_01,11,,completed,optimization.first_update.first_step_normalized_mean_change_rms,0.5170002301080144,,,
stage-a,std_01,11,,completed,optimization.first_update.final_kl,0.8017947093510085,,,
stage-a,std_01,11,,completed,optimization.first_update.final_mean_kl,0.8017946494595444,,,
stage-a,std_01,11,,completed,optimization.first_update.final_std_kl,5.989146411902973e-08,,,
stage-a,std_01,11,,completed,optimization.first_update.final_mean_change_rms,0.05170002378119182,,,
stage-a,std_01,11,,completed,optimization.first_update.final_std_mean,0.10000333189964294,,,
stage-a,std_01,11,,completed,optimization.last_update.actor_loss,0.0033387690782546997,,,
stage-a,std_01,11,,completed,optimization.last_update.value_loss,0.00500662624835968,,,
stage-a,std_01,11,,completed,optimization.last_update.entropy,-5.296458721160889,,,
stage-a,std_01,11,,completed,optimization.last_update.kl,0.0,,,
stage-a,std_01,11,,completed,optimization.last_update.clip_fraction,0.0,,,
