stage,variant,train_seed,height,status,factor_changes,single_factor,metric,value,n,mean,sample_std
stage-a,baseline,11,,completed,{},False,nominal_full_budget_optimizer_steps,320,,,
stage-a,baseline,11,,completed,{},False,optimizer.updates_observed,40,,,
stage-a,baseline,11,,completed,{},False,optimizer.optimizer_steps,40,,,
stage-a,baseline,11,,completed,{},False,optimizer.planned_optimizer_steps,320,,,
stage-a,baseline,11,,completed,{},False,optimizer.optimizer_step_utilization,0.125,,,
stage-a,baseline,11,,completed,{},False,optimizer.early_stopped_fraction,1.0,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.actor_loss,-0.008608815260231495,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.value_loss,0.023582611232995987,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.entropy,-1.1429965496063232,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.kl,0.0,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.clip_fraction,0.0,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.loss,0.020688779652118683,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.auxiliary_loss,0.0,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.auxiliary_coef,0.0,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.grad_norm,2.604780435562134,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.optimizer_steps,1,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.planned_optimizer_steps,8,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.sample_count,4096,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.early_stopped,True,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.stop_kl,0.180594801902771,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.initial_mean_abs,0.403064715110221,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.initial_std_mean,0.20000000298023224,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.initial_std_min,0.20000000298023224,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.initial_std_max,0.20000000298023224,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.first_step_kl,0.1810666704843979,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.first_step_mean_kl,0.18106661047376243,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.first_step_std_kl,6.001063547150342e-08,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.first_step_mean_change_rms,0.049136407337043324,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.first_step_normalized_mean_change_rms,0.24568203302426908,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.final_kl,0.1810666704843979,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.final_mean_kl,0.18106661047376243,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.final_std_kl,6.001063547150342e-08,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.final_mean_change_rms,0.049136407337043324,,,
stage-a,baseline,11,,completed,{},False,optimizer.first_update.final_std_mean,0.2000066637992859,,,
stage-a,baseline,11,,completed,{},False,optimizer.last_update.actor_loss,0.006747222505509853,,,
stage-a,baseline,11,,completed,{},False,optimizer.last_update.value_loss,0.005827042274177074,,,
stage-a,baseline,11,,completed,{},False,optimizer.last_update.entropy,-1.1376982927322388,,,
