variant,seed,scenario,command_vx_m_s,command_wz_rad_s,command_height_m,actual_vx_m_s,actual_height_m,height_bias_mm,vx_full_interval_mae_m_s
last_token_attention,1011,stand_low,0,0,0.28,0.003372332524251531,0.2788005354093505,-1.1994645906495278,0.00720720255848937
last_token_attention,1011,stand_mid,0,0,0.3,0.0033906800929840893,0.27888588416636023,-21.11411583363977,0.007222247209383568
last_token_attention,1011,stand_high,0,0,0.32,0.002854582407019514,0.2790619294311419,-40.938070568858144,0.006751821405274313
last_token_attention,1011,forward,0.5,0,0.3,0.0008988670172330737,0.2793708948889595,-20.629105111040488,0.5015151016209275
last_token_attention,1011,reverse,-0.5,0,0.3,0.002881678424903611,0.27873077720503064,-21.269222794969338,0.5001188142318278
last_token_attention,1011,turn_left,0,1,0.3,-0.00027255968465525433,0.2795069400968652,-20.493059903134768,0.0048467254589986625
last_token_attention,1011,turn_right,0,-1,0.3,0.0029847284054641426,0.2778605112873262,-22.13948871267377,0.007102917975519859
last_token_attention,1022,stand_low,0,0,0.28,-0.004279007970169991,0.18553247388669725,-94.46752611330278,0.0052253064754040675
last_token_attention,1022,stand_mid,0,0,0.3,-0.004083215537989284,0.18550931708022678,-114.49068291977319,0.005031028585046443
last_token_attention,1022,stand_high,0,0,0.32,-0.004216468591623726,0.18566703351294242,-134.33296648705758,0.005149593011563411
last_token_attention,1022,forward,0.5,0,0.3,-0.003500427381901816,0.1838450645374599,-116.15493546254008,0.5036405592635274
last_token_attention,1022,reverse,-0.5,0,0.3,-0.003624338509640168,0.18711015636897566,-112.88984363102432,0.49637859040685
last_token_attention,1022,turn_left,0,1,0.3,-0.0018564642622787423,0.1906512638215409,-109.34873617845909,0.0029637286555735044
last_token_attention,1022,turn_right,0,-1,0.3,-0.0038762060026215485,0.18078119037357085,-119.21880962642913,0.005078251301469209
last_token_attention,1033,stand_low,0,0,0.28,-0.0035608044618645153,0.17476642718206284,-105.23357281793719,0.006930386514058228
last_token_attention,1033,stand_mid,0,0,0.3,-0.0035816862826013505,0.17476493543290383,-125.23506456709616,0.006956154407799659
last_token_attention,1033,stand_high,0,0,0.32,-0.003568642957241774,0.17476579291310124,-145.23420708689878,0.006939985728535248
last_token_attention,1033,forward,0.5,0,0.3,-0.0029952578958939435,0.1747768056552532,-125.2231943447468,0.5019817202985287
last_token_attention,1033,reverse,-0.5,0,0.3,-0.003186874302842424,0.17454517033590985,-125.45482966409013,0.49708904875442383
last_token_attention,1033,turn_left,0,1,0.3,-0.003602848539516908,0.1747733358217154,-125.2266641782846,0.00697081024058366
last_token_attention,1033,turn_right,0,-1,0.3,-0.0035621581555662805,0.1747527430961534,-125.24725690384658,0.006663028017664147
time_attention,1011,stand_low,0,0,0.28,0.000158082433561644,0.1790940364494945,-100.90596355050553,0.003230577021772377
time_attention,1011,stand_mid,0,0,0.3,5.615895843883554e-05,0.17902289933901386,-120.97710066098612,0.0033719730199727282
time_attention,1011,stand_high,0,0,0.32,-0.00011560416304006594,0.17891735495139058,-141.08264504860944,0.0032285395234474094
time_attention,1011,forward,0.5,0,0.3,0.00032478772836824765,0.17884642378431745,-121.15357621568253,0.4985337312892079
time_attention,1011,reverse,-0.5,0,0.3,5.376365464437871e-05,0.17729290130860342,-122.70709869139655,0.5008529184013605
time_attention,1011,turn_left,0,1,0.3,0.0005604015813634379,0.1775159973939005,-122.48400260609947,0.00392594444366921
time_attention,1011,turn_right,0,-1,0.3,-0.0005431765368809342,0.1839744248672317,-116.02557513276828,0.005842796017952423
time_attention,1022,stand_low,0,0,0.28,0.0046013445287527216,0.24926742404587507,-30.73257595412495,0.007002563776526586
time_attention,1022,stand_mid,0,0,0.3,0.00470684654167838,0.2490888207289429,-50.91117927105711,0.007077375805158226
time_attention,1022,stand_high,0,0,0.32,0.004682928009225367,0.2490054270002645,-70.9945729997355,0.007048529631429119
time_attention,1022,forward,0.5,0,0.3,0.00411004710190821,0.24929952088592283,-50.70047911407717,0.49613066235743464
time_attention,1022,reverse,-0.5,0,0.3,0.002054757777686156,0.24839821596748468,-51.60178403251532,0.5019104960262776
time_attention,1022,turn_left,0,1,0.3,0.0054687505503852925,0.2492729796648539,-50.72702033514608,0.009771251750562896
time_attention,1022,turn_right,0,-1,0.3,0.0014678339277761731,0.17680377804152897,-123.19622195847103,0.010851019086235737
time_attention,1033,stand_low,0,0,0.28,0.0023053716389608192,0.2588177958635273,-21.18220413647272,0.008961968232137678
time_attention,1033,stand_mid,0,0,0.3,-0.011969117151128392,0.2581258998745809,-41.87410012541911,0.018896197940790442
time_attention,1033,stand_high,0,0,0.32,-0.03313617498029943,0.25797873555288636,-62.02126444711363,0.03653709107727627
time_attention,1033,forward,0.5,0,0.3,0.005841456927263788,0.25926106910844054,-40.73893089155942,0.4967433647811413
time_attention,1033,reverse,-0.5,0,0.3,-0.045565450343491354,0.2569460593180533,-43.05394068194666,0.4520440658740699
time_attention,1033,turn_left,0,1,0.3,0.19465669320110426,0.25322176785709927,-46.77823214290074,0.19341659041069215
time_attention,1033,turn_right,0,-1,0.3,-0.27708950405396837,0.25585342729593596,-44.14657270406404,0.2774697980717756
index_attention,1011,stand_low,0,0,0.28,0.00010221864370405356,0.1769902371963887,-103.00976280361132,0.002678406531186397
index_attention,1011,stand_mid,0,0,0.3,0.00025105018918208016,0.17701562709439592,-122.98437290560408,0.002828921991765014
index_attention,1011,stand_high,0,0,0.32,0.0004672170726661928,0.17691476304636952,-143.08523695363047,0.00314962610816319
index_attention,1011,forward,0.5,0,0.3,0.0002781017318474466,0.1765615064799868,-123.4384935200132,0.49817643158882857
index_attention,1011,reverse,-0.5,0,0.3,0.00045046971084838905,0.1757284466485768,-124.27155335142318,0.5009919137302786
index_attention,1011,turn_left,0,1,0.3,0.00013454198035349623,0.17546228797999666,-124.53771202000333,0.0027018598489365786
index_attention,1011,turn_right,0,-1,0.3,-0.00030242581416847715,0.1817272905380428,-118.27270946195719,0.0035876969749329248
index_attention,1022,stand_low,0,0,0.28,-0.0006678276851851333,0.2217672351949029,-58.232764805097126,0.011206712326666092
index_attention,1022,stand_mid,0,0,0.3,-0.0008291182390958497,0.2208949559542654,-79.1050440457346,0.011545172393085522
index_attention,1022,stand_high,0,0,0.32,-0.0007077332301155248,0.2197379653580309,-100.26203464196912,0.011509066223248737
index_attention,1022,forward,0.5,0,0.3,0.021081584865530634,0.2808101879061097,-19.189812093890318,0.4805841285847127
index_attention,1022,reverse,-0.5,0,0.3,-0.0006191361242031124,0.21857335338262363,-81.42664661737635,0.49084285893663765
index_attention,1022,turn_left,0,1,0.3,0.000186802949142063,0.2050575632285151,-94.9424367714849,0.010610107429793061
index_attention,1022,turn_right,0,-1,0.3,-0.0005723181624602618,0.22281334795339391,-77.18665204660607,0.0113987439585826
index_attention,1033,stand_low,0,0,0.28,0.002712868353638267,0.25818090033827723,-21.819099661722802,0.01277512364384529
index_attention,1033,stand_mid,0,0,0.3,-0.03148612108461048,0.25766214058093057,-42.3378594190694,0.03746824448596908
index_attention,1033,stand_high,0,0,0.32,-0.027381003337879805,0.2576095375972797,-62.39046240272026,0.03456040366422167
index_attention,1033,forward,0.5,0,0.3,-0.02529667724356721,0.25567265311136983,-44.32734688863018,0.5264408294335008
index_attention,1033,reverse,-0.5,0,0.3,-0.05835928088297371,0.256997946751671,-43.00205324832899,0.43972935518808665
index_attention,1033,turn_left,0,1,0.3,0.30536929941039864,0.25537459613416774,-44.625403865832226,0.30134177896336767
index_attention,1033,turn_right,0,-1,0.3,-0.2661495286900927,0.24716248699174517,-52.837513008254824,0.2653666317495517
